"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WBGene00000001",1550.76652458949,-0.137893317518507,0.1754316630765,-0.786022973848093,0.431854028001732,0.656865435427219
"WBGene00000002",294.015587371414,-0.496043945019246,0.252010997104029,-1.96834245616068,0.049028648051284,0.176502644205823
"WBGene00000003",172.382595272157,-0.476394750312379,0.284185138733485,-1.6763534941887,0.0936689724988039,0.265113731038976
"WBGene00000004",331.373668127174,0.00622298280124255,0.182707956855762,0.03405972519388,0.972829524476558,0.988079184471844
"WBGene00000005",116.632204105516,-0.327365635652242,0.341087890046306,-0.959769153949729,0.337171410011723,0.572324326539292
"WBGene00000006",357.695715468729,0.456228768638255,0.20726354123134,2.20120126254637,0.0277217789689595,0.121085552318321
"WBGene00000007",321.400402611799,0.0826959716431882,0.235792886798883,0.350714445909994,0.725802586863805,0.857742258189786
"WBGene00000008",10.7942207708468,0.284955179657267,0.698103965647688,0.408184444838228,0.683138267306788,0.831592365556997
"WBGene00000009",83.6274240238949,0.32850074162547,0.384110847202109,0.855223808487297,0.392427258107624,0.621843856044577
"WBGene00000010",934.560719507023,-0.621130324406536,0.186119375704701,-3.3372684711345,0.000846061798608264,0.0107891418525312
"WBGene00000012",17.39000880214,0.583416301900179,0.551151067149105,1.05854154454961,0.289808620887073,0.525861356992824
"WBGene00000013",214.165822287255,1.56581157078758,0.291571844327134,5.37024270776569,7.8630744211565e-08,6.39094922616317e-06
"WBGene00000015",0.458668868872262,-0.812893565690541,3.22965967705468,-0.251696354097552,0.801275775305847,NA
"WBGene00000016",515.686029730117,0.793330995671804,0.206720584695649,3.83769713519247,0.000124193523817422,0.00267149617630917
"WBGene00000017",836.807404443615,0.445465543986646,0.16486363772682,2.70202423123033,0.0068918739513715,0.0479971935238248
"WBGene00000018",590.838361293016,-0.472118054941937,0.168286775541706,-2.80543764310781,0.00502483028810836,0.0384969088021552
"WBGene00000019",106.733849058606,-0.404694530305216,0.332397134332533,-1.21750306637829,0.223412870466689,0.451167139299545
"WBGene00000020",766.314682140431,0.0563598259555249,0.211321917600699,0.266701280186275,0.789699168165055,0.894102550603249
"WBGene00000021",2.99721671678498,-0.044958563125354,1.21661255492133,-0.0369538872038527,0.970521773285227,NA
"WBGene00000022",754.951716865239,-0.172887169201428,0.174281950830171,-0.991996981775225,0.321198997747319,0.557051231030353
"WBGene00000023",138.809533171371,-0.181111909099447,0.247767266965052,-0.730975932849891,0.464793853485526,0.681561373573608
"WBGene00000024",106.47383741371,-1.0890243584363,0.507323460634505,-2.14660752545184,0.0318245402974068,0.132704518738848
"WBGene00000025",0.690211030923524,1.39476223949224,2.82215634487368,0.49421862896638,0.62115178472299,NA
"WBGene00000027",3.81215359990166,-1.70142088611602,1.53058090659522,-1.11161773858844,0.26630254234634,NA
"WBGene00000029",38.4551585704413,-2.05750193891179,0.651220551346738,-3.1594548646489,0.00158064581405635,0.0169246007025967
"WBGene00000030",49.8572781006293,-1.12238819580334,0.620231166614124,-1.80962882263805,0.0703533671269914,0.221872970423943
"WBGene00000031",268.222224400945,-0.0376551779876504,0.2417757506968,-0.15574422943214,0.876234632485753,0.939959719706549
"WBGene00000032",19.7384157451371,-1.25378718673774,0.604068479084852,-2.07557128065545,0.0379336199196453,0.148577986586883
"WBGene00000033",91.7968006695983,-0.114573030134966,0.353073989323571,-0.324501474476972,0.745558406134268,0.868596981274866
