"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WBGene00000001",858.845393120075,-0.155956318971331,0.248577438754425,-0.627395308893676,0.53040014200465,0.923428719297386
"WBGene00000002",448.455665410805,-0.101927968194966,0.313617615158958,-0.325007152877251,0.74517565811851,0.968682302876473
"WBGene00000003",328.070840113675,0.532841916514564,0.358247557895669,1.4873567307603,0.136920618477795,0.66369130494162
"WBGene00000004",469.621703671457,0.100568454162937,0.279571395577906,0.359723690454993,0.719053773977115,0.963292855385349
"WBGene00000005",167.019958491474,-0.558036592507305,0.411156162573414,-1.35723757371061,0.17470573556063,0.71273189128632
"WBGene00000006",875.272147852026,0.828629289117658,0.372713168586898,2.22323587937426,0.0261998986465976,0.360491438860208
"WBGene00000007",525.838939152235,0.345052583755948,0.284403093824625,1.21325186416123,0.225033540448312,0.773178431487022
"WBGene00000008",17.4255922299388,0.0950202786642838,0.560388908645797,0.169561312149993,0.865355150311948,0.984378754572954
"WBGene00000009",211.306063484251,0.589871574704483,0.481487012271596,1.2251038131258,0.2205361086758,0.768026989503055
"WBGene00000010",956.853837538875,-0.352627117141555,0.483753050511363,-0.728940348321943,0.466038152260349,0.898705246919463
"WBGene00000012",11.9585259801985,0.718982133477055,0.855079207979243,0.840836880101648,0.400439323152071,0.877050016017841
"WBGene00000013",991.869681452634,1.711429322783,0.527643587064717,3.24353287851689,0.00118057184418341,0.0736904019853862
"WBGene00000014",0.532788089156107,-2.40079155740615,3.59451594981341,-0.667903993451683,0.504194878103651,NA
"WBGene00000015",1.28915077733746,-0.00380641844515844,1.90205036144967,-0.00200121853884948,0.998403259690851,NA
"WBGene00000016",1491.73719109413,0.544652233017766,0.336112321365687,1.62044708984408,0.105136271352867,0.61395784829049
"WBGene00000017",1602.32824738782,0.157234559912941,0.301841745250534,0.520917210382658,0.602424445709899,0.939407954439306
"WBGene00000018",257.187003749673,-0.196052610168764,0.248608406057177,-0.788600085081894,0.43034578120463,0.888961947911145
"WBGene00000019",49.5413033028573,-0.432833007784247,0.440131052520184,-0.98341847344297,0.32540152192385,0.838091248856123
"WBGene00000020",864.818420391068,0.436392076425491,0.263931465800814,1.65342951853581,0.0982434794077353,0.59881213139783
"WBGene00000021",0.213509079169207,-1.26115904412285,4.06120889544776,-0.310537841463043,0.756151987472639,NA
"WBGene00000022",1262.24555439925,0.149847797271105,0.31767780843406,0.471697403132296,0.637142790984421,0.94759223822811
"WBGene00000023",59.4539757620154,-1.12021377780124,0.362124849086252,-3.09344630899501,0.00197846349062547,0.1035642963796
"WBGene00000024",94.1125985722724,-0.869896366470406,0.618342145150489,-1.4068204363762,0.159480641025589,0.693453551117299
"WBGene00000026",0.467675691524575,-2.22606003637652,3.73084747033463,-0.596663373154964,0.550732151054308,NA
"WBGene00000027",5.33693037497762,-0.442878065996362,0.980111059132172,-0.451865185960154,0.651366105949782,0.950546732771343
"WBGene00000029",45.84145121941,-1.87159950408551,0.798369326090966,-2.34427782095459,0.0190639650071906,0.314512134778029
"WBGene00000030",57.2376189139785,-0.648212269960819,0.790386272012625,-0.820120861044591,0.412147211001797,0.882662732517523
"WBGene00000031",441.573564136592,0.484466668357519,0.328356205394524,1.47543021998145,0.140096915726864,0.668959089711555
